session_id,entropy_index_beginning,entropy_time_beginning,n_cdp_index_beginning,n_cdp_time_beginning,entropy_diff_beginning,entropy_index_middle,entropy_time_middle,n_cdp_index_middle,n_cdp_time_middle,entropy_diff_middle,entropy_index_end,entropy_time_end,n_cdp_index_end,n_cdp_time_end,entropy_diff_end,conference
2021_05_20_ABI_S8,0.7642045065086203,0.7642045065086203,27,27,0.0,1.0,0.0,2,1,-1.0,0.6729592758523572,0.6583346267480237,23,24,-0.014624649104333476,2021ABI
2021_05_21_ABI_S1,0.0,0.0,20,20,0.0,0.7076765296822561,0.7312088026202268,16,15,0.023532272937970666,0.7160863263878677,0.6971862088918521,18,19,-0.01890011749601561,2021ABI
2021_05_21_ABI_S10,0.6307122020015626,0.6307122020015626,26,26,0.0,0.7219280948873623,0.5916727785823275,5,7,-0.13025531630503484,0.8112781244591328,0.8524051786494786,20,18,0.04112705419034579,2021ABI
2021_05_21_ABI_S11,0.0,0.0,12,12,0.0,0.0,0.0,4,4,0.0,0.7534397398762206,0.7534397398762206,18,18,0.0,2021ABI
2021_05_21_ABI_S12,0.9366673818775626,0.9366673818775626,17,17,0.0,0.6223659728744493,0.0,9,1,-0.6223659728744493,0.884963636383153,0.6266892212322789,33,41,-0.2582744151508741,2021ABI
2021_05_21_ABI_S13,0.5032583347756457,0.5032583347756457,18,18,0.0,1.0,1.0,2,2,0.0,0.7193329040881773,0.7193329040881773,13,13,0.0,2021ABI
2021_05_21_ABI_S14,0.9975025463691153,0.9886994082884974,17,16,-0.008803138080617834,0.0,0.0,4,5,0.0,0.817581733764401,0.817581733764401,14,14,0.0,2021ABI
2021_05_21_ABI_S15,0.895640305638598,0.895640305638598,13,13,0.0,0.6500224216483541,0.7219280948873623,6,5,0.0719056732390082,0.41381685030363374,0.39124356362925566,12,13,-0.02257328667437808,2021ABI
2021_05_21_ABI_S16,0.5608244837210251,0.5931648710702542,28,29,0.03234038734922906,0.9852281360342516,1.0,7,4,0.014771863965748366,0.6962122601251458,0.6500224216483541,16,18,-0.0461898384767917,2021ABI
2021_05_21_ABI_S2,1.0,0.9957274520849256,12,13,-0.004272547915074365,0.8112781244591328,0.9182958340544896,4,3,0.10701770959535672,0.8112781244591328,0.8112781244591328,20,20,0.0,2021ABI
2021_05_21_ABI_S3,0.5913712412003556,0.5913712412003556,22,22,0.0,0.8112781244591328,0.7219280948873623,4,5,-0.08935002957177052,0.8586727110732549,0.8783471047618533,10,9,0.019674393688598357,2021ABI
2021_05_21_ABI_S4,0.47167341781551525,0.4884931363139443,20,19,0.01681971849842906,0.0,0.0,1,2,0.0,0.863120568566631,0.863120568566631,7,7,0.0,2021ABI
2021_05_21_ABI_S5,0.7918583525674836,0.7918583525674836,21,21,0.0,0.4394969869215134,0.5435644431995964,11,8,0.104067456278083,0.362051251733998,0.3372900666170139,29,32,-0.024761185116984108,2021ABI
2021_05_21_ABI_S6,0.5246455665662212,0.5246455665662212,22,22,0.0,0.9182958340544896,0.0,6,1,-0.9182958340544896,0.6500224216483541,0.7871265862012691,12,17,0.13710416455291496,2021ABI
2021_05_21_ABI_S7,0.9910760598382222,0.9910760598382222,9,9,0.0,0.0,0.0,5,2,0.0,0.8739810481273578,0.8112781244591328,17,20,-0.06270292366822494,2021ABI
2021_05_21_ABI_S8,0.74959525725948,0.7793498372920852,14,13,0.029754580032605227,1.0,0.9182958340544896,2,3,-0.08170416594551044,0.8112781244591328,0.8112781244591328,8,8,0.0,2021ABI
2021_05_21_ABI_S9,0.9587118829771318,0.9587118829771318,21,21,0.0,0.0,0.0,5,5,0.0,0.6840384356390417,0.6840384356390417,11,11,0.0,2021ABI
output-2021-05-20-ABI-S1,0.9852281360342516,1.0,7,4,0.014771863965748366,,0.9182958340544896,0,3,,1.0,1.0,6,6,0.0,2021ABI
2021_10_07_CMC_S1,0.9182958340544896,0.9182958340544896,21,21,0.0,1.0,1.0,2,2,0.0,0.7038148177476575,0.7038148177476575,21,21,0.0,2021CMC
2021_10_07_CMC_S2,0.863120568566631,0.863120568566631,7,7,0.0,0.8112781244591328,0.0,4,3,-0.8112781244591328,0.6908140210976049,0.7312088026202268,14,15,0.04039478152262188,2021CMC
