conference,session_id,n_meetings,similarity_method,n_chunks_sum,n_moves_sum,funded_rate,any_funded,n_teams,num_funded_teams,outcome_source,n_moves,weighted_ldi,mean_nonzero_weight,forelink_weight_mean,backlink_weight_mean,cross_speaker_weight_ratio,late_minus_early_backlink,forelink_entropy,backlink_entropy,horizon_entropy,overall_link_entropy
2021MND,2021_04_23_MND_S4,2,lsa,8.0,154.0,,0.0,0.0,0.0,chunk_registry_v1,92.01298701298701,0.41427101005218003,0.1504614683940392,0.4142710100521799,0.41427101005218003,0.6893392229532354,0.5047914270911728,6.5313056241405105,5.997419328250603,5.961451298047531,18.490176250438644
2021MND,2021_04_23_MND_S5,1,lsa,7.0,128.0,0.5,1.0,2.0,1.0,chunk_registry_v1,128.0,0.807976080263926,0.178619927933994,0.807976080263926,0.807976080263926,0.7624470422370742,1.13973569926576,10.879891705709133,11.689691565079103,12.39352758580234,34.963110856590575
2021MND,2021_04_23_MND_S6,1,lsa,7.0,157.0,0.0,0.0,2.0,0.0,chunk_registry_v1,157.0,1.403273274026383,0.2106251472487018,1.403273274026383,1.403273274026383,0.8174445308373877,2.129612624620487,20.361348610625143,20.0211979620136,19.54918806859976,59.931734641238506
2021MND,2021_04_23_MND_S7,1,lsa,7.0,117.0,0.0,0.0,1.0,0.0,chunk_registry_v1,117.0,0.6408205991418916,0.171569817161559,0.6408205991418916,0.6408205991418916,0.8052395782033166,0.9246352801550416,9.250368032660166,10.04071790988179,10.134711188376723,29.425797130918685
2021MND,2021_04_23_MND_S8,2,lsa,6.0,100.0,,0.0,0.0,0.0,chunk_registry_v1,55.78,0.25735532137992373,0.17867562115346802,0.2573553213799237,0.25735532137992373,0.4864334944085706,0.3937564305604838,3.707069997627599,3.5440272532899018,3.953863830870221,11.204961081787722
2021MND,2021_04_23_MND_S9,1,lsa,6.0,124.0,0.0,0.0,2.0,0.0,chunk_registry_v1,124.0,0.922355383794062,0.1629231732057887,0.922355383794062,0.922355383794062,0.782873012428256,1.357496153439978,15.442782254785971,12.418628788760392,12.62354934476378,40.48496038831014
2021MZT,2021_09_30_MZT_S1,1,lsa,2.0,24.0,,,,,unmatched,24.0,0.0086048332780729,0.0688386662245832,0.0086048332780729,0.0086048332780729,0.9368767684059308,-0.012226799991358,0.1037882354767707,0.2159681741053596,0.0908714397273454,0.41062784930947577
2021MZT,2021_09_30_MZT_S2,1,lsa,6.0,128.0,0.0,0.0,1.0,0.0,chunk_registry_v1,128.0,1.065794639358031,0.1559105301003748,1.065794639358031,1.065794639358031,0.7997594592917285,1.1009430721631226,14.708716341872297,15.769215260552532,13.922472868501185,44.40040447092601
2021MZT,2021_09_30_MZT_S3,1,lsa,6.0,92.0,0.0,0.0,1.0,0.0,chunk_registry_v1,92.0,0.5540238581891329,0.1649520872278324,0.5540238581891329,0.5540238581891328,0.6866616452939325,0.5122211769569402,8.616736314167165,8.264530926278603,7.01865935333641,23.899926593782176
2021MZT,2021_09_30_MZT_S4,1,lsa,6.0,135.0,0.0,0.0,1.0,0.0,chunk_registry_v1,135.0,0.973880209472521,0.1810934273812539,0.973880209472521,0.973880209472521,0.7115060670265352,1.1537340603723802,13.421485354647666,13.77892441183129,13.824948486733822,41.02535825321278
