session_id,n_utterances,strict_conv_utt,structural_wrap_utt,strict_conv_time_sec,structural_wrap_time_sec,total_time_sec,strict_conv_rate,structural_wrap_rate,strict_conv_time_last_third_sec,structural_wrap_time_last_third_sec,last_third_time_sec,strict_conv_rate_last_third,structural_wrap_rate_last_third,conference
2021_06_11_SLU_S5,180,0,9,0.0,509.0,3392.0,0.0,0.15005896226415094,0.0,304.0,1071.0,0.0,0.2838468720821662,2021SLU
2021_06_11_SLU_S6,253,2,13,35.0,363.0,3617.0,0.009676527508985348,0.10035941387890517,35.0,115.0,1182.0,0.02961082910321489,0.09729272419627749,2021SLU
2021_06_11_SLU_S7,199,0,25,0.0,667.0,3912.0,0.0,0.17050102249488752,0.0,345.0,1306.0,0.0,0.26416539050535986,2021SLU
2021_06_11_SLU_S8,262,0,31,0.0,704.0,3629.0,0.0,0.19399283549187105,0.0,350.0,1335.0,0.0,0.26217228464419473,2021SLU
2021_06_11_SLU_S9,260,1,17,4.0,641.0,3535.0,0.0011315417256011315,0.18132956152758134,0.0,275.0,1073.0,0.0,0.25629077353215285,2021SLU
2022_04_07_MND_S1,283,0,16,0.0,269.0,3451.0,0.0,0.0779484207476094,0.0,150.0,1214.0,0.0,0.12355848434925865,2022MND
2022_04_07_MND_S2,271,0,40,0.0,1279.0,3769.0,0.0,0.33934730697797827,0.0,418.0,1335.0,0.0,0.31310861423220976,2022MND
2022_04_07_MND_S3,141,0,27,0.0,1409.0,3958.0,0.0,0.3559878726629611,0.0,235.0,1306.0,0.0,0.17993874425727413,2022MND
2022_04_07_MND_S4,257,0,19,0.0,410.0,3373.0,0.0,0.12155351319300327,0.0,128.0,832.0,0.0,0.15384615384615385,2022MND
2022_04_07_MND_S5,258,0,18,0.0,357.0,3284.0,0.0,0.1087088915956151,0.0,140.0,1028.0,0.0,0.13618677042801555,2022MND
2022_04_07_MND_S6,234,0,31,0.0,1101.0,3831.0,0.0,0.2873923257635082,0.0,320.0,1233.0,0.0,0.259529602595296,2022MND
2022_04_08_MND_S1,230,0,18,0.0,342.0,3183.0,0.0,0.10744580584354382,0.0,95.0,1134.0,0.0,0.0837742504409171,2022MND
2022_04_08_MND_S10,197,0,15,0.0,511.0,3563.0,0.0,0.14341846758349705,0.0,213.0,843.0,0.0,0.2526690391459075,2022MND
2022_04_08_MND_S11,211,0,17,0.0,281.0,3136.0,0.0,0.08960459183673469,0.0,48.0,935.0,0.0,0.051336898395721926,2022MND
2022_04_08_MND_S12,12,0,0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,2022MND
2022_04_08_MND_S2,312,2,26,44.0,508.0,3056.0,0.014397905759162303,0.1662303664921466,29.0,132.0,773.0,0.037516170763260026,0.17076326002587322,2022MND
2022_04_08_MND_S3,281,0,22,0.0,540.0,3563.0,0.0,0.1515576761156329,0.0,51.0,1040.0,0.0,0.04903846153846154,2022MND
2022_04_08_MND_S4,216,0,20,0.0,753.0,3932.0,0.0,0.1915055951169888,0.0,334.0,1237.0,0.0,0.2700080840743735,2022MND
2022_04_08_MND_S5,255,0,21,0.0,590.0,3724.0,0.0,0.15843179377013963,0.0,235.0,1157.0,0.0,0.2031114952463267,2022MND
2022_04_08_MND_S6,6,0,0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,,,2022MND
2022_04_08_MND_S7,259,0,18,0.0,697.0,3491.0,0.0,0.1996562589515898,0.0,197.0,1007.0,0.0,0.19563058589870905,2022MND
2022_04_08_MND_S8,365,0,22,0.0,635.0,3481.0,0.0,0.18241884515943693,0.0,288.0,1231.0,0.0,0.23395613322502032,2022MND
2022_04_08_MND_S9,273,1,20,2.0,444.0,3729.0,0.0005363368195226602,0.11906677393403058,0.0,231.0,1135.0,0.0,0.20352422907488987,2022MND
